p,k,mean,var,err_x,err_var
0.1,2,0.05,0.000475,0.5,0.47222222222222227
0.1,3,0.105,0.00009397500000000001,0.049999999999999906,0.04416666666666668
0.1,4,0.1041,0.000009326319,0.040999999999999925,0.03625766666666658
0.1,5,0.10054,0.000000904317084,0.005399999999999988,0.004796759999999924
0.1,6,0.099636,0.000000089708667504,0.003640000000000032,0.0032370277333334096
0.1,7,0.0999162,0.000000008993295297756001,0.0008380000000000887,0.0007449669160000235
0.5,2,0.47,0.0024909999999999997,0.06000000000000005,0.003600000000000131
0.5,3,0.492,0.000249936,0.016000000000000014,0.00025600000000012765
0.5,4,0.5055,0.000024996975,0.010999999999999899,0.00012100000000006203
0.5,5,0.49739,0.000002499931879,0.005220000000000002,0.000027248400000037003
0.5,6,0.499853,0.000000249999978391,0.00029400000000001647,0.00000008643599993365177
0.5,7,0.4999967,0.000000024999999998911,0.000006599999999967743,0.00000000004355999280153248
0.9,2,0.85,0.0012750000000000005,0.0555555555555556,0.41666666666666746
0.9,3,0.888,0.00009945599999999999,0.013333333333333345,0.10506666666666684
0.9,4,0.9018,0.000008855676000000002,0.0020000000000000265,0.016035999999999658
0.9,5,0.89965,0.000000902798775,0.0003888888888889694,0.0031097500000001202
0.9,6,0.899645,0.00000009028387397499992,0.000394444444444438,0.0031541552777771004
0.9,7,0.9000622,0.000000008995023613115994,0.00006911111111112472,0.0005529318760004422
